Hora,Método,Monto de depósito,Monto a recibir,Tarifa,Estado,ID de transacción (TXID)
25-11-17 17:12:19,Pay by bank app,498.00 EUR,497.5 EUR,0.50 EUR,Successful,3686937193486592000111767
25-11-16 23:17:27,Pay by bank app,498.00 EUR,497.5 EUR,0.50 EUR,Failed,3686666696706327552111667
25-08-11 17:43:01,Pay by bank app,498.00 EUR,497.5 EUR,0.50 EUR,Successful,3651430909765838848081167
25-06-23 13:14:19,Pay by bank app,498.00 EUR,497.5 EUR,0.50 EUR,Successful,3633606282968378368062367
25-06-12 23:11:51,Pay by bank app,498.00 EUR,497.5 EUR,0.50 EUR,Failed,3629770389836806144061267
25-02-15 00:49:14,Pay by bank app,498.00 EUR,497.5 EUR,0.50 EUR,Successful,3587033130239287296021467
25-02-15 00:44:00,Pay by bank app,498.00 EUR,497.5 EUR,0.50 EUR,Failed,3587031815773761536021467
