Hora,Moneda,Red,Cantidad,Tarifa,Dirección,ID de transacción (TXID),Estado
25-08-13 14:08:35,USDC,BSC,500,0.02,0xBd59cb64cd219Ef85795EE5a0a2A4a5Fbbf9A3C4,0x824c5f016e5b1abcb0ed7ce74712a430c8fc0a3d8e38e5bac40b35e1fc049ede,Completed
25-08-11 18:12:10,USDC,BSC,25.9196328,0.02,0xBd59cb64cd219Ef85795EE5a0a2A4a5Fbbf9A3C4,0x56fdce72e861911b827023a007aa6e0fb13b483ee5af013dd48caad7e19bb3a4,Completed
25-08-04 17:12:16,USDC,BSC,24.98,0.02,0xBd59cb64cd219Ef85795EE5a0a2A4a5Fbbf9A3C4,0xee24af74c6a17fd4d7bfd2a5dd3961f856dce9f10173a114ab1683279fa1cf66,Completed
25-07-10 22:10:59,USDC,BSC,99.98,0.02,0xBd59cb64cd219Ef85795EE5a0a2A4a5Fbbf9A3C4,0x64437babded7a3840df0956269c68f76b5a363c4a7b8abed793ebe9efe81604a,Completed
25-06-28 00:34:33,USDC,BSC,100,0,0xBd59cb64cd219Ef85795EE5a0a2A4a5Fbbf9A3C4,0xb42efe102fa84e7f86c573a42ec181d047a0476816f7bb53134e38c96f45814c,Completed
25-06-26 20:22:13,USDC,BSC,100,0,0xBd59cb64cd219Ef85795EE5a0a2A4a5Fbbf9A3C4,0x68c6d5a6fa7d8ee8c82ebf349ce5d38ee1ce8c152226d4f70d045bf6d6c95484,Completed
25-02-18 12:14:07,USDC,ETH,513.865024,3,0x91ea53da5956c9a0bebc9628e8158b276bc8bd43,0x98d23d3c8082122eff6328b7517fbb971a24a96a312e8e2b77b5a51f4cf89579,Completed
