Hora,Moneda,Red,Cantidad,Dirección,ID de transacción (TXID),Estado
25-11-06 11:01:01,ETH,BSC,0.04375782,0x564290873029c26c23a27e2d834bc109a625486f,0x89d173c1fc69f5b93b3496b4be8e33170763b925d58f4dc2fd4e9009c871cd14,Completed
25-10-17 09:33:10,ETH,BSC,0.11002241,0x564290873029c26c23a27e2d834bc109a625486f,0x8cf99646d47e2e4a7dd262b4d00badb303addf4f5368e20b085058dedc5ab435,Completed
25-10-17 09:30:32,BTC,BSC,0.00428715,0x564290873029c26c23a27e2d834bc109a625486f,0xc95d4c8a85347639e39fe8bbc6e88d091ae41db8114d6d76cc5f8bee4daa1197,Completed
25-10-08 20:43:34,USDT,ETH,99.78,0x564290873029c26c23a27e2d834bc109a625486f,0xf50fdba1bc978edd9fd51dea73b3e053a78a742013fba0900ec6733290d872f4,Completed
