Fecha de suscripción,Nombre del Producto,Moneda,Cantidad,Tipo,De,Estado
25-11-25 09:05:22,ETH,ETH,0.00000009,Auto,SPOT,Success
25-11-25 08:11:26,BTC,BTC,0.00000006,Auto,SPOT,Success
25-11-24 09:05:20,ETH,ETH,0.00000007,Auto,SPOT,Success
25-11-24 08:11:05,BTC,BTC,0.00000006,Auto,SPOT,Success
25-11-24 00:00:32,ETH,ETH,0.00704773,Auto,SPOT,Success
25-11-23 23:08:29,BTC,BTC,0.00057036,Auto,SPOT,Success
25-11-23 09:04:25,ETH,ETH,0.00000007,Auto,SPOT,Success
25-11-23 08:09:54,BTC,BTC,0.00000006,Auto,SPOT,Success
25-11-22 09:03:14,ETH,ETH,0.00000007,Auto,SPOT,Success
25-11-22 08:09:37,BTC,BTC,0.00000006,Auto,SPOT,Success
25-11-21 09:01:44,ETH,ETH,0.00000007,Auto,SPOT,Success
25-11-21 08:08:25,BTC,BTC,0.00000006,Auto,SPOT,Success
25-11-20 08:56:07,ETH,ETH,0.00000007,Auto,SPOT,Success
25-11-20 08:03:52,BTC,BTC,0.00000006,Auto,SPOT,Success
25-11-19 09:07:33,ETH,ETH,0.00000007,Auto,SPOT,Success
25-11-19 08:12:41,BTC,BTC,0.00000006,Auto,SPOT,Success
25-11-18 09:01:52,ETH,ETH,0.00000007,Auto,SPOT,Success
25-11-18 08:07:06,BTC,BTC,0.00000006,Auto,SPOT,Success
25-11-17 09:00:20,ETH,ETH,0.00000007,Auto,SPOT,Success
25-11-17 08:07:43,BTC,BTC,0.00000006,Auto,SPOT,Success
25-11-16 09:07:15,ETH,ETH,0.00000007,Auto,SPOT,Success
25-11-16 08:11:32,BTC,BTC,0.00000006,Auto,SPOT,Success
25-11-15 09:04:05,ETH,ETH,0.00000007,Auto,SPOT,Success
25-11-15 08:10:51,BTC,BTC,0.00000006,Auto,SPOT,Success
25-11-14 09:02:02,ETH,ETH,0.00000007,Auto,SPOT,Success
25-11-14 08:07:33,BTC,BTC,0.00000006,Auto,SPOT,Success
25-11-13 08:57:40,ETH,ETH,0.00000007,Auto,SPOT,Success
25-11-13 08:04:40,BTC,BTC,0.00000006,Auto,SPOT,Success
25-11-12 09:06:20,ETH,ETH,0.00000007,Auto,SPOT,Success
25-11-12 08:10:34,BTC,BTC,0.00000006,Auto,SPOT,Success
25-11-11 09:04:05,ETH,ETH,0.00000007,Auto,SPOT,Success
25-11-11 08:07:50,BTC,BTC,0.00000006,Auto,SPOT,Success
25-11-10 08:52:14,ETH,ETH,0.00000007,Auto,SPOT,Success
25-11-10 08:00:00,BTC,BTC,0.00000006,Auto,SPOT,Success
25-11-09 09:02:35,ETH,ETH,0.00000007,Auto,SPOT,Success
25-11-09 08:06:31,BTC,BTC,0.00000006,Auto,SPOT,Success
25-11-08 09:03:18,ETH,ETH,0.00000007,Auto,SPOT,Success
25-11-08 08:07:13,BTC,BTC,0.00000006,Auto,SPOT,Success
25-11-07 08:57:51,ETH,ETH,0.00000005,Auto,SPOT,Success
25-11-07 08:03:59,BTC,BTC,0.00000006,Auto,SPOT,Success
25-11-06 11:05:52,BTC,BTC,0.00191319,Normal,SPOT,Success
25-11-06 10:28:51,ETH,ETH,0.00292339,Normal,SPOT,Success
25-11-06 10:26:23,ETH,ETH,0.00292391,Normal,SPOT,Success
25-11-06 08:56:11,ETH,ETH,0.00000005,Auto,SPOT,Success
25-11-06 08:02:05,BTC,BTC,0.00000006,Auto,SPOT,Success
25-11-05 09:01:55,ETH,ETH,0.00000005,Auto,SPOT,Success
25-11-05 08:06:23,BTC,BTC,0.00000006,Auto,SPOT,Success
25-11-04 09:05:27,ETH,ETH,0.00000005,Auto,SPOT,Success
25-11-04 08:10:41,BTC,BTC,0.00000006,Auto,SPOT,Success
25-11-03 09:03:30,ETH,ETH,0.00000005,Auto,SPOT,Success
25-11-03 08:08:13,BTC,BTC,0.00000006,Auto,SPOT,Success
25-11-02 09:02:07,ETH,ETH,0.00000005,Auto,SPOT,Success
25-11-02 08:06:17,BTC,BTC,0.00000006,Auto,SPOT,Success
25-11-01 08:58:04,ETH,ETH,0.00000005,Auto,SPOT,Success
25-11-01 08:02:06,BTC,BTC,0.00000006,Auto,SPOT,Success
25-10-31 09:00:31,ETH,ETH,0.00000005,Auto,SPOT,Success
25-10-31 08:03:14,BTC,BTC,0.00000006,Auto,SPOT,Success
25-10-30 08:59:02,ETH,ETH,0.00000005,Auto,SPOT,Success
25-10-30 08:01:56,BTC,BTC,0.00000006,Auto,SPOT,Success
25-10-29 08:56:56,ETH,ETH,0.00000005,Auto,SPOT,Success
25-10-29 08:00:15,BTC,BTC,0.00000006,Auto,SPOT,Success
25-10-28 08:54:28,ETH,ETH,0.00000005,Auto,SPOT,Success
25-10-28 07:58:44,BTC,BTC,0.00000006,Auto,SPOT,Success
25-10-27 08:55:04,ETH,ETH,0.00000005,Auto,SPOT,Success
25-10-27 07:58:23,BTC,BTC,0.00000006,Auto,SPOT,Success
25-10-26 08:49:00,ETH,ETH,0.00000005,Auto,SPOT,Success
25-10-26 07:54:11,BTC,BTC,0.00000006,Auto,SPOT,Success
25-10-25 09:32:31,USDC,USDC,0.80572392,Normal,SPOT,Success
25-10-25 08:52:19,ETH,ETH,0.00000005,Auto,SPOT,Success
25-10-25 07:56:18,BTC,BTC,0.00000006,Auto,SPOT,Success
25-10-24 08:52:56,ETH,ETH,0.00000004,Auto,SPOT,Success
25-10-24 07:56:48,BTC,BTC,0.00000006,Auto,SPOT,Success
25-10-23 08:56:01,ETH,ETH,0.00265474,Auto,SPOT,Success
25-10-23 07:59:24,BTC,BTC,0.00023224,Auto,SPOT,Success
25-10-22 08:52:27,ETH,ETH,0.00000004,Auto,SPOT,Success
25-10-22 07:55:27,BTC,BTC,0.00000006,Auto,SPOT,Success
25-10-21 08:52:20,ETH,ETH,0.00000004,Auto,SPOT,Success
25-10-21 07:56:27,BTC,BTC,0.00000006,Auto,SPOT,Success
25-10-20 08:53:31,ETH,ETH,0.00000004,Auto,SPOT,Success
25-10-20 07:55:42,BTC,BTC,0.00000006,Auto,SPOT,Success
25-10-19 08:50:50,ETH,ETH,0.00000004,Auto,SPOT,Success
25-10-19 07:55:40,BTC,BTC,0.00000006,Auto,SPOT,Success
25-10-18 07:56:05,BTC,BTC,0.00000006,Auto,SPOT,Success
25-10-17 09:45:09,BTC,BTC,0.0040041,Normal,SPOT,Success
25-10-17 09:37:53,ETH,ETH,0.11262649,Normal,SPOT,Success
25-10-17 09:37:33,BTC,BTC,0.00451924,Normal,SPOT,Success
25-10-17 08:51:05,ETH,ETH,0.00000004,Auto,SPOT,Success
25-10-17 07:55:09,BTC,BTC,0.00000006,Auto,SPOT,Success
25-10-16 08:48:29,ETH,ETH,0.00000004,Auto,SPOT,Success
25-10-16 07:52:51,BTC,BTC,0.00000006,Auto,SPOT,Success
25-10-15 08:51:54,ETH,ETH,0.00000004,Auto,SPOT,Success
25-10-15 07:55:59,BTC,BTC,0.00000006,Auto,SPOT,Success
25-10-14 08:50:19,ETH,ETH,0.00000004,Auto,SPOT,Success
25-10-14 07:53:29,BTC,BTC,0.00000006,Auto,SPOT,Success
25-10-13 08:54:09,ETH,ETH,0.00000004,Auto,SPOT,Success
25-10-13 07:57:59,BTC,BTC,0.00000006,Auto,SPOT,Success
25-10-12 08:50:23,ETH,ETH,0.00000004,Auto,SPOT,Success
25-10-12 07:53:27,BTC,BTC,0.00000006,Auto,SPOT,Success
25-10-11 08:54:32,ETH,ETH,0.00000004,Auto,SPOT,Success
25-10-11 07:57:23,BTC,BTC,0.00000006,Auto,SPOT,Success
25-10-10 08:52:47,ETH,ETH,0.00000004,Auto,SPOT,Success
25-10-10 07:55:53,BTC,BTC,0.00000006,Auto,SPOT,Success
25-10-09 08:50:26,ETH,ETH,0.00219262,Auto,SPOT,Success
25-10-09 07:54:10,BTC,BTC,0.00020231,Auto,SPOT,Success
25-10-08 20:50:50,USDC,USDC,100,Normal,SPOT,Success
25-10-08 08:50:13,ETH,ETH,0.00000004,Auto,SPOT,Success
25-10-08 07:53:35,BTC,BTC,0.00000006,Auto,SPOT,Success
25-10-07 08:50:31,ETH,ETH,0.00000004,Auto,SPOT,Success
25-10-07 07:54:34,BTC,BTC,0.00000006,Auto,SPOT,Success
25-10-06 08:42:37,ETH,ETH,0.00000004,Auto,SPOT,Success
25-10-06 07:47:25,BTC,BTC,0.00000006,Auto,SPOT,Success
25-10-05 08:44:48,ETH,ETH,0.00000004,Auto,SPOT,Success
25-10-05 07:49:29,BTC,BTC,0.00000006,Auto,SPOT,Success
25-10-04 08:45:37,ETH,ETH,0.00000004,Auto,SPOT,Success
25-10-04 07:49:47,BTC,BTC,0.00000006,Auto,SPOT,Success
25-10-03 08:48:45,ETH,ETH,0.00000003,Auto,SPOT,Success
25-10-03 07:52:30,BTC,BTC,0.00000006,Auto,SPOT,Success
25-10-02 08:41:59,ETH,ETH,0.00229851,Auto,SPOT,Success
25-10-02 07:47:13,BTC,BTC,0.00021099,Auto,SPOT,Success
25-10-01 08:37:41,ETH,ETH,0.00000003,Auto,SPOT,Success
25-10-01 07:42:47,BTC,BTC,0.00000006,Auto,SPOT,Success
25-09-30 08:36:47,ETH,ETH,0.00000003,Auto,SPOT,Success
25-09-30 07:41:20,BTC,BTC,0.00000006,Auto,SPOT,Success
25-09-29 08:42:27,ETH,ETH,0.00000003,Auto,SPOT,Success
25-09-29 07:44:43,BTC,BTC,0.00000006,Auto,SPOT,Success
25-09-28 08:34:12,ETH,ETH,0.00000003,Auto,SPOT,Success
25-09-28 07:39:28,BTC,BTC,0.00000006,Auto,SPOT,Success
25-09-27 08:32:41,ETH,ETH,0.00000003,Auto,SPOT,Success
25-09-27 07:38:18,BTC,BTC,0.00000006,Auto,SPOT,Success
25-09-26 08:38:16,ETH,ETH,0.00000002,Auto,SPOT,Success
25-09-26 07:42:12,BTC,BTC,0.00000006,Auto,SPOT,Success
25-09-25 08:36:08,ETH,ETH,0.00239164,Auto,SPOT,Success
25-09-25 07:40:08,BTC,BTC,0.00021899,Auto,SPOT,Success
25-09-24 22:38:46,BTC,BTC,0.00000006,Auto,SPOT,Success
25-09-24 08:40:09,ETH,ETH,0.00000002,Auto,SPOT,Success
25-09-23 08:32:30,ETH,ETH,0.00000002,Auto,SPOT,Success
25-09-23 07:37:10,BTC,BTC,0.00000006,Auto,SPOT,Success
25-09-22 08:31:31,ETH,ETH,0.00000002,Auto,SPOT,Success
25-09-22 07:35:46,BTC,BTC,0.00000006,Auto,SPOT,Success
25-09-21 08:36:48,ETH,ETH,0.00000002,Auto,SPOT,Success
25-09-21 07:39:48,BTC,BTC,0.00000006,Auto,SPOT,Success
25-09-20 08:33:26,ETH,ETH,0.00000002,Auto,SPOT,Success
25-09-20 07:37:00,BTC,BTC,0.00000006,Auto,SPOT,Success
25-09-19 08:37:14,ETH,ETH,0.00000002,Auto,SPOT,Success
25-09-19 07:40:28,BTC,BTC,0.00000006,Auto,SPOT,Success
25-09-18 08:30:08,ETH,ETH,0.00218673,Auto,SPOT,Success
25-09-18 07:34:01,BTC,BTC,0.00021375,Auto,SPOT,Success
25-09-17 20:56:09,USDC,USDC,5,Normal,SPOT,Success
25-09-17 20:55:31,USDC,USDC,165,Normal,SPOT,Success
25-09-17 08:32:07,ETH,ETH,0.00000002,Auto,SPOT,Success
25-09-17 08:06:35,USDC,USDC,205.54247671,Auto,SPOT,Success
25-09-17 07:35:54,BTC,BTC,0.00000006,Auto,SPOT,Success
25-09-16 08:31:54,ETH,ETH,0.00000002,Auto,SPOT,Success
25-09-16 08:06:08,USDC,USDC,0.02251458,Auto,SPOT,Success
25-09-16 07:35:40,BTC,BTC,0.00000006,Auto,SPOT,Success
25-09-15 08:52:23,ETH,ETH,0.00000002,Auto,SPOT,Success
25-09-15 08:23:43,USDC,USDC,0.02251019,Auto,SPOT,Success
