"date(UTC+0)","executed_qty","amount","price","side","symbol","fee","fee_coin","market_type","tax_id"
"2023-09-27 09:39:01","0.00210000000000000000","55.18254000000000000000","26277.40000000","BUY","BTC_USDT_PERP","0.02759127","USDT","Futures USDT","s_1"
"2023-09-27 14:18:01","0.00420000000000000000","111.66540000000000000000","26587.00000000","SELL","BTC_USDT_PERP","0.05583271","USDT","Futures USDT","s_1"
"2023-09-28 00:23:01","0.00630000000000000000","167.57727000000000000000","26599.56666667","BUY","BTC_USDT_PERP","0.08378864","USDT","Futures USDT","s_1"
"2023-09-28 18:45:28","0.00420000000000000000","111.96318000000000000000","26657.90000000","SELL","BTC_USDT_PERP","0.05598160","USDT","Futures USDT","s_1"
"2023-09-29 07:09:01","0.00840000000000000000","226.70760000000000000000","26989.00000000","BUY","BTC_USDT_PERP","0.11335380","USDT","Futures USDT","s_2"
"2023-09-29 14:19:02","0.00840000000000000000","225.96294000000000000000","26900.35000000","SELL","BTC_USDT_PERP","0.11298147","USDT","Futures USDT","s_2"
"2023-09-30 10:20:01","0.01640000000000000000","442.42813000000000000000","26977.32500000","BUY","BTC_USDT_PERP","0.22121407","USDT","Futures USDT","s_2"
"2023-09-30 15:38:49","33.20000000000000000000","190.24500000000000000000","5.73027108","SELL","FXS_USDT_PERP","0.09512250","USDT","Futures USDT","s_4"
"2023-09-30 21:46:01","0.02050000000000000000","552.89976000000000000000","26970.72000000","SELL","BTC_USDT_PERP","0.27644989","USDT","Futures USDT","s_2"
"2023-10-01 01:28:47","0.00410000000000000000","110.73403000000000000000","27008.30000000","BUY","BTC_USDT_PERP","0.05536702","USDT","Futures USDT","s_2"
"2023-10-01 08:44:56","33.20000000000000000000","185.81310000000000000000","5.59678012","BUY","FXS_USDT_PERP","0.09290655","USDT","Futures USDT","s_4"
"2023-10-02 00:00:06","0.02710000000000000000","759.47700000000000000000","28024.98154982","BUY","BTC_USDT_PERP","0.37973851","USDT","Futures USDT","s_6"
"2023-10-02 21:57:01","0.00700000000000000000","191.70410000000000000000","27386.30000000","SELL","BTC_USDT_PERP","0.09585205","USDT","Futures USDT","s_7"
"2023-10-02 22:12:01","0.02710000000000000000","757.98941000000000000000","27970.08892989","SELL","BTC_USDT_PERP","0.37899471","USDT","Futures USDT","s_6"
"2023-10-03 06:46:01","0.00700000000000000000","193.35400000000000000000","27622.00000000","BUY","BTC_USDT_PERP","0.09667700","USDT","Futures USDT","s_7"
"2023-10-03 12:17:01","0.00680000000000000000","186.40048000000000000000","27411.83529412","SELL","BTC_USDT_PERP","0.09320024","USDT","Futures USDT","s_7"
"2023-10-04 08:38:01","0.02020000000000000000","555.76242000000000000000","27512.99108911","BUY","BTC_USDT_PERP","0.27788121","USDT","Futures USDT","s_7"
"2023-10-04 09:08:59","0.00680000000000000000","187.16184000000000000000","27523.80000000","BUY","BTC_USDT_PERP","0.09358092","USDT","Futures USDT","s_6"
"2023-10-04 10:27:45","0.00680000000000000000","187.15368000000000000000","27522.60000000","SELL","BTC_USDT_PERP","0.09357684","USDT","Futures USDT","s_6"
"2023-10-04 14:21:03","0.01340000000000000000","366.81629000000000000000","27374.35000000","SELL","BTC_USDT_PERP","0.18340815","USDT","Futures USDT","s_7"
