"date(UTC+0)","tx_type","amount","coin","network","txid","fee"
"2023-09-26 19:09:23","DEPOSIT","56.61791000","USDT","TRC20","74a90620a5a2b9b847064f9ddfe1d178054fde7bb238a66c6670f6577a990159","0.00000000"
"2023-09-30 14:03:41","DEPOSIT","329.02709900","USDT","ERC20","0x18204f8c850391c02788fc9cd83b52da6b7da49801076fe6e4e04c63363b29f5","0.00000000"
