"date(UTC+0)","coin","amount","tag","comment"
"2023-09-27 16:00:04","USDT","0.000728334016284","FundingFee","BTC_USDT_PERP"
"2023-09-28 00:00:04","USDT","0.00156378327","FundingFee","BTC_USDT_PERP"
"2023-09-28 16:00:06","USDT","0.002795035647768","FundingFee","BTC_USDT_PERP"
"2023-09-29 08:00:07","USDT","0.004704889891842","FundingFee","BTC_USDT_PERP"
"2023-09-30 16:00:06","USDT","0.01919250168","FundingFee","FXS_USDT_PERP"
"2023-10-01 00:00:06","USDT","0.002062734295575","FundingFee","BTC_USDT_PERP"
"2023-10-01 00:00:07","USDT","0.00690839853754008","FundingFee","FXS_USDT_PERP"
"2023-10-01 08:00:01","USDT","0.01850236","FundingFee","FXS_USDT_PERP"
"2023-10-02 08:00:07","USDT","-0.00523426454112","FundingFee","BTC_USDT_PERP"
"2023-10-03 00:00:02","USDT","0.01322785377251352","FundingFee","BTC_USDT_PERP"
"2023-10-03 16:00:03","USDT","0.002878235303136","FundingFee","BTC_USDT_PERP"
"2023-10-04 00:00:04","USDT","0.01342494104190762","FundingFee","BTC_USDT_PERP"
"2023-10-04 08:00:06","USDT","0.010654057120256","FundingFee","BTC_USDT_PERP"
"2023-10-04 16:00:04","USDT","-0.004544496914492435","FundingFee","BTC_USDT_PERP"
"2023-10-05 16:00:07","USDT","0.005853879889241076","FundingFee","ETH_USDT_PERP"
"2023-10-05 16:00:07","USDT","-0.002692900594213245","FundingFee","BTC_USDT_PERP"
"2023-10-06 00:00:06","USDT","0.018367908","FundingFee","ETH_USDT_PERP"
"2023-10-06 00:00:07","USDT","0.0002761279248","FundingFee","BTC_USDT_PERP"
"2023-10-06 08:00:05","USDT","0.004285099964145","FundingFee","BTC_USDT_PERP"
"2023-10-06 08:00:07","USDT","0.016727976838704","FundingFee","ETH_USDT_PERP"
"2023-10-06 16:00:04","USDT","0.01197873984648","FundingFee","ETH_USDT_PERP"
"2023-10-06 16:00:06","USDT","0.00725003801266745","FundingFee","BTC_USDT_PERP"
"2023-10-07 00:00:05","USDT","-0.015020658899470011","FundingFee","ETH_USDT_PERP"
"2023-10-07 00:00:06","USDT","-0.00272407822190097","FundingFee","BTC_USDT_PERP"
"2023-10-07 08:00:06","USDT","-0.002052432586512","FundingFee","BTC_USDT_PERP"
"2023-10-07 08:00:08","USDT","-0.009446134837358","FundingFee","ETH_USDT_PERP"
"2023-10-07 16:00:04","USDT","-0.0044604823900428","FundingFee","BTC_USDT_PERP"
"2023-10-07 16:00:07","USDT","-0.006255803548789","FundingFee","ETH_USDT_PERP"
"2023-10-08 00:00:05","USDT","0.000754609562982","FundingFee","BTC_USDT_PERP"
"2023-10-08 00:00:07","USDT","-0.013510226852199","FundingFee","ETH_USDT_PERP"
"2023-10-08 08:00:04","USDT","-0.016271723638352","FundingFee","ETH_USDT_PERP"
"2023-10-08 08:00:07","USDT","-0.00077641805492097","FundingFee","BTC_USDT_PERP"
"2023-10-08 16:00:04","USDT","0.0143986585756","FundingFee","ETH_USDT_PERP"
"2023-10-08 16:00:06","USDT","0.011021570994525","FundingFee","BTC_USDT_PERP"
"2023-10-09 00:00:05","USDT","0.016974484696","FundingFee","ETH_USDT_PERP"
"2023-10-09 00:00:06","USDT","0.009946283497469319","FundingFee","BTC_USDT_PERP"
"2023-10-09 08:00:04","USDT","0.00545088607596","FundingFee","BTC_USDT_PERP"
"2023-10-09 08:00:06","USDT","0.010128495312","FundingFee","ETH_USDT_PERP"
"2023-10-09 16:00:03","USDT","0.003421571040186","FundingFee","ETH_USDT_PERP"
"2023-10-09 16:00:05","USDT","0.010936365524304","FundingFee","BTC_USDT_PERP"
"2023-10-10 00:00:04","USDT","-0.01124296924128","FundingFee","BTC_USDT_PERP"
"2023-10-10 08:00:05","USDT","-0.010520414995014848","FundingFee","ETH_USDT_PERP"
"2023-10-10 08:00:06","USDT","-0.003216304031909094","FundingFee","BTC_USDT_PERP"
"2023-10-10 16:00:05","USDT","-0.007267448406288","FundingFee","ETH_USDT_PERP"
"2023-10-10 16:00:06","USDT","-0.00732441485556","FundingFee","BTC_USDT_PERP"
"2023-10-11 00:00:06","USDT","-0.009254504156436","FundingFee","BTC_USDT_PERP"
"2023-10-11 08:00:02","USDT","0.00840387253988502","FundingFee","ETH_USDT_PERP"
"2023-10-11 08:00:04","USDT","0.012416451845226","FundingFee","BTC_USDT_PERP"
"2023-10-11 16:00:03","USDT","0.00886556654854178","FundingFee","ETH_USDT_PERP"
"2023-10-11 16:00:05","USDT","0.012364328334012106","FundingFee","BTC_USDT_PERP"
"2023-10-12 00:00:05","USDT","0.01043473937591998","FundingFee","ETH_USDT_PERP"
"2023-10-12 08:00:04","USDT","0.00193011526125","FundingFee","ETH_USDT_PERP"
"2023-10-12 16:00:05","USDT","0.01071887131425","FundingFee","ETH_USDT_PERP"
"2023-10-13 00:00:06","USDT","0.00410724073150875","FundingFee","ETH_USDT_PERP"
"2023-10-13 08:00:06","USDT","-0.004656631255220124","FundingFee","ETH_USDT_PERP"
"2023-10-13 16:00:05","USDT","-0.00408656446635528","FundingFee","ETH_USDT_PERP"
"2023-10-14 00:00:05","USDT","-0.00667115769258","FundingFee","BTC_USDT_PERP"
"2023-10-14 00:00:07","USDT","-0.002897873650437","FundingFee","ETH_USDT_PERP"
"2023-10-14 08:00:05","USDT","-0.007387154530713309","FundingFee","ETH_USDT_PERP"
"2023-10-14 08:00:07","USDT","-0.001163284707816","FundingFee","BTC_USDT_PERP"
"2023-10-14 16:00:06","USDT","-0.012908164610642","FundingFee","ETH_USDT_PERP"
"2023-10-14 16:00:07","USDT","-0.007515937044127418","FundingFee","BTC_USDT_PERP"
"2023-10-15 00:00:04","USDT","0.002899232811245022","FundingFee","BTC_USDT_PERP"
