"Date","Received Quantity","Received Currency","Sent Quantity","Sent Currency","Fee Amount","Fee Currency","Tag"
"09/26/2023 19:09:23","56.61791000","USDT","","","","",""
"09/27/2023 09:39:01","0.00210000000000000000","BTC","55.18254000000000000000","USDT","0.02759127","USDT",""
"09/27/2023 14:18:01","111.66540000000000000000","USDT","0.00420000000000000000","BTC","0.05583271","USDT",""
"09/27/2023 16:00:04","0.000728334016284","USDT","","","0","",""
"09/28/2023 00:00:04","0.00156378327","USDT","","","0","",""
"09/28/2023 00:23:01","0.00630000000000000000","BTC","167.57727000000000000000","USDT","0.08378864","USDT",""
"09/28/2023 16:00:06","0.002795035647768","USDT","","","0","",""
"09/28/2023 18:45:28","111.96318000000000000000","USDT","0.00420000000000000000","BTC","0.05598160","USDT",""
"09/29/2023 07:09:01","0.00840000000000000000","BTC","226.70760000000000000000","USDT","0.11335380","USDT",""
"09/29/2023 08:00:07","0.004704889891842","USDT","","","0","",""
"09/29/2023 14:19:02","225.96294000000000000000","USDT","0.00840000000000000000","BTC","0.11298147","USDT",""
"09/30/2023 10:20:01","0.01640000000000000000","BTC","442.42813000000000000000","USDT","0.22121407","USDT",""
"09/30/2023 14:03:41","329.02709900","USDT","","","","",""
"09/30/2023 15:38:49","190.24500000000000000000","USDT","33.20000000000000000000","FXS","0.09512250","USDT",""
"09/30/2023 16:00:06","0.01919250168","USDT","","","0","",""
"09/30/2023 21:46:01","552.89976000000000000000","USDT","0.02050000000000000000","BTC","0.27644989","USDT",""
"10/01/2023 00:00:06","0.002062734295575","USDT","","","0","",""
"10/01/2023 00:00:07","0.00690839853754008","USDT","","","0","",""
"10/01/2023 01:28:47","0.00410000000000000000","BTC","110.73403000000000000000","USDT","0.05536702","USDT",""
"10/01/2023 08:00:01","0.01850236","USDT","","","0","",""
"10/01/2023 08:44:56","33.20000000000000000000","FXS","185.81310000000000000000","USDT","0.09290655","USDT",""
"10/02/2023 00:00:06","0.02710000000000000000","BTC","759.47700000000000000000","USDT","0.37973851","USDT",""
