"Type","Buy Amount","Buy Currency","Sell Amount","Sell Currency","Fee","Fee Currency","Exchange","Trade-Group","Comment","Date","Tx-ID"
"Staking","0.0004510422445662","USDT","","","","","Pionex","","staking profit","08/10/2024 06:00:00",""
"Staking","0.0004510427594546","USDT","","","","","Pionex","","staking profit","08/10/2024 07:00:00",""
"Staking","0.0004510432743436","USDT","","","","","Pionex","","staking profit","08/10/2024 08:00:00",""
"Staking","0.0004510437892332","USDT","","","","","Pionex","","staking profit","08/10/2024 09:00:00",""
"Staking","0.0004510443041234","USDT","","","","","Pionex","","staking profit","08/10/2024 10:00:00",""
"Staking","0.0004510448190141","USDT","","","","","Pionex","","staking profit","08/10/2024 11:00:00",""
"Staking","0.0004510453339055","USDT","","","","","Pionex","","staking profit","08/10/2024 12:00:00",""
"Staking","0.0004510458487974","USDT","","","","","Pionex","","staking profit","08/10/2024 13:00:00",""
"Staking","0.0004510463636899","USDT","","","","","Pionex","","staking profit","08/10/2024 14:00:00",""
"Staking","0.0004510468785830","USDT","","","","","Pionex","","staking profit","08/10/2024 15:00:00",""
"Staking","0.0004510473934767","USDT","","","","","Pionex","","staking profit","08/10/2024 16:00:00",""
"Staking","0.0004510479083710","USDT","","","","","Pionex","","staking profit","08/10/2024 17:00:00",""
"Staking","0.0004510484232659","USDT","","","","","Pionex","","staking profit","08/10/2024 18:00:00",""
"Staking","0.0004510489381613","USDT","","","","","Pionex","","staking profit","08/10/2024 19:00:00",""
"Staking","0.0004510494530574","USDT","","","","","Pionex","","staking profit","08/10/2024 20:00:00",""
"Staking","0.0004510499679540","USDT","","","","","Pionex","","staking profit","08/10/2024 21:00:00",""
"Staking","0.0004510504828513","USDT","","","","","Pionex","","staking profit","08/10/2024 22:00:00",""
"Staking","0.0004510509977491","USDT","","","","","Pionex","","staking profit","08/10/2024 23:00:00",""
"Staking","0.0004510515126475","USDT","","","","","Pionex","","staking profit","08/11/2024 00:00:00",""
"Staking","0.0004510520275465","USDT","","","","","Pionex","","staking profit","08/11/2024 01:00:00",""
"Staking","0.0004510525424460","USDT","","","","","Pionex","","staking profit","08/11/2024 02:00:00",""
"Staking","0.0004510530573462","USDT","","","","","Pionex","","staking profit","08/11/2024 03:00:00",""
"Staking","0.0004510535722469","USDT","","","","","Pionex","","staking profit","08/11/2024 04:00:00",""
"Staking","0.0004510540871483","USDT","","","","","Pionex","","staking profit","08/11/2024 05:00:00",""
"Staking","0.0004510546020502","USDT","","","","","Pionex","","staking profit","08/11/2024 06:00:00",""
"Staking","0.0004510551169527","USDT","","","","","Pionex","","staking profit","08/11/2024 07:00:00",""
"Staking","0.0004510556318558","USDT","","","","","Pionex","","staking profit","08/11/2024 08:00:00",""
"Staking","0.0004510561467595","USDT","","","","","Pionex","","staking profit","08/11/2024 09:00:00",""
"Staking","0.0004510566616638","USDT","","","","","Pionex","","staking profit","08/11/2024 10:00:00",""
"Staking","0.0004510571765687","USDT","","","","","Pionex","","staking profit","08/11/2024 11:00:00",""
"Staking","0.0004510576914741","USDT","","","","","Pionex","","staking profit","08/11/2024 12:00:00",""
"Staking","0.0004510582063801","USDT","","","","","Pionex","","staking profit","08/11/2024 13:00:00",""
"Staking","0.0004510587212868","USDT","","","","","Pionex","","staking profit","08/11/2024 14:00:00",""
"Staking","0.0004510592361940","USDT","","","","","Pionex","","staking profit","08/11/2024 15:00:00",""
"Staking","0.0004510597511018","USDT","","","","","Pionex","","staking profit","08/11/2024 16:00:00",""
