"date(UTC+0)","executed_qty","amount","price","side","symbol","fee","fee_coin","market_type","tax_id"
"2024-12-31 00:43:22","0.00041000000000000000","38.63747310000000000000","94237.73926829","BUY","BTC_USDT","0.00000041","BTC","Spot","s_59"
"2024-12-31 23:36:35","0.00035000000000000000","32.96572980000000000000","94187.79942857","SELL","BTC_USDT","0.01648288","USDT","Spot","s_59"
"2025-01-01 00:16:22","0.00013000000000000000","12.19178290000000000000","93782.94538462","BUY","BTC_USDT","0.00000013","BTC","Spot","s_59"
"2025-01-01 16:16:56","0.00247200000000000000","232.79797376000000000000","94173.93760518","SELL","BTC_USDT","0.11639896","USDT","Spot","s_59"
"2025-01-01 16:20:17","0.08839000000000000000","295.78256840000000000000","3346.33520081","BUY","ETH_USDT","0.00004422","ETH","Spot","s_61"
"2025-01-01 23:36:53","0.00806000000000000000","28.04439800000000000000","3479.45384615","SELL","ETH_USDT","0.01402221","USDT","Spot","s_61"
"2025-01-02 00:26:05","0.00806000000000000000","27.74557350000000000000","3442.37884615","BUY","ETH_USDT","0.00000416","ETH","Spot","s_61"
"2025-01-02 22:23:13","0.00744000000000000000","25.71131630000000000000","3455.82208333","SELL","ETH_USDT","0.01285567","USDT","Spot","s_61"
"2025-01-03 01:29:37","0.00496000000000000000","17.55815510000000000000","3539.95062500","BUY","ETH_USDT","0.00000256","ETH","Spot","s_61"
"2025-01-03 20:59:57","0.00465000000000000000","16.41382730000000000000","3529.85533333","SELL","ETH_USDT","0.00820693","USDT","Spot","s_61"
"2025-01-04 03:07:38","0.00093000000000000000","3.34818290000000000000","3600.19666667","BUY","ETH_USDT","0.00000048","ETH","Spot","s_61"
"2025-01-04 14:35:20","0.08213000000000000000","299.03335850000000000000","3640.97599537","SELL","ETH_USDT","0.14951668","USDT","Spot","s_61"
"2025-01-04 14:37:28","0.10331000000000000000","371.82903100000000000000","3599.15817443","BUY","ETH_USDT","0.00005193","ETH","Spot","s_62"
"2025-01-04 23:08:29","0.00528000000000000000","19.37441550000000000000","3669.39687500","SELL","ETH_USDT","0.00968722","USDT","Spot","s_62"
"2025-01-05 00:12:59","0.00330000000000000000","11.96231850000000000000","3624.94500000","BUY","ETH_USDT","0.00000170","ETH","Spot","s_62"
"2025-01-05 23:20:00","0.00363000000000000000","13.21056330000000000000","3639.27363636","SELL","ETH_USDT","0.00660528","USDT","Spot","s_62"
"2025-01-06 00:25:24","0.00990000000000000000","36.06320520000000000000","3642.74800000","BUY","ETH_USDT","0.00000510","ETH","Spot","s_62"
"2025-01-06 20:46:30","0.00726000000000000000","26.64035220000000000000","3669.47000000","SELL","ETH_USDT","0.01332021","USDT","Spot","s_62"
"2025-01-07 00:35:13","0.02079000000000000000","69.78001800000000000000","3356.42222222","BUY","ETH_USDT","0.00001071","ETH","Spot","s_62"
"2025-01-07 23:04:06","0.01914000000000000000","66.78423180000000000000","3489.24931034","SELL","ETH_USDT","0.03339209","USDT","Spot","s_62"
"2025-01-08 00:08:07","0.01518000000000000000","50.30937120000000000000","3314.18782609","BUY","ETH_USDT","0.00000782","ETH","Spot","s_62"
"2025-01-08 21:15:34","0.01650000000000000000","54.94128750000000000000","3329.77500000","SELL","ETH_USDT","0.02747073","USDT","Spot","s_62"
"2025-01-09 00:57:50","0.01356000000000000000","44.25390990000000000000","3263.56267699","BUY","ETH_USDT","0.00000699","ETH","Spot","s_62"
"2025-01-09 23:00:26","0.01617000000000000000","52.99236360000000000000","3277.20244898","SELL","ETH_USDT","0.02649620","USDT","Spot","s_62"
"2025-01-10 01:41:36","0.01353000000000000000","43.99509510000000000000","3251.67000000","BUY","ETH_USDT","0.00000697","ETH","Spot","s_62"
"2025-01-10 20:39:49","0.01221000000000000000","39.87471180000000000000","3265.74216216","SELL","ETH_USDT","0.01993735","USDT","Spot","s_62"
"2025-01-11 06:07:39","0.00330000000000000000","10.75441620000000000000","3258.91400000","BUY","ETH_USDT","0.00000170","ETH","Spot","s_62"
"2025-01-11 22:32:20","0.00297000000000000000","9.71249730000000000000","3270.20111111","SELL","ETH_USDT","0.00485625","USDT","Spot","s_62"
"2025-01-12 01:54:47","0.00297000000000000000","9.66951150000000000000","3255.72777778","BUY","ETH_USDT","0.00000153","ETH","Spot","s_62"
"2025-01-12 22:22:11","0.00363000000000000000","11.87369700000000000000","3270.99090909","SELL","ETH_USDT","0.00593685","USDT","Spot","s_62"
"2025-01-13 00:02:01","0.02079000000000000000","63.74049330000000000000","3065.92079365","BUY","ETH_USDT","0.00001071","ETH","Spot","s_62"
"2025-01-13 21:34:10","0.02409000000000000000","74.58088110000000000000","3095.92698630","SELL","ETH_USDT","0.03729041","USDT","Spot","s_62"
"2025-01-14 00:22:26","0.01056000000000000000","33.70226970000000000000","3191.50281250","BUY","ETH_USDT","0.00000544","ETH","Spot","s_62"
"2025-01-14 20:04:42","0.00792000000000000000","25.41855360000000000000","3209.41333333","SELL","ETH_USDT","0.01270922","USDT","Spot","s_62"
"2025-01-15 00:23:19","0.01488000000000000000","49.20790680000000000000","3306.98298387","BUY","ETH_USDT","0.00000767","ETH","Spot","s_62"
"2025-01-15 21:45:07","0.00957000000000000000","31.63399140000000000000","3305.53724138","SELL","ETH_USDT","0.01581700","USDT","Spot","s_62"
"2025-01-16 00:01:40","0.01155000000000000000","38.38839510000000000000","3323.67057143","BUY","ETH_USDT","0.00000595","ETH","Spot","s_62"
"2025-01-16 22:31:43","0.01518000000000000000","50.80370790000000000000","3346.75282609","SELL","ETH_USDT","0.02540196","USDT","Spot","s_62"
"2025-01-17 00:05:19","0.01254000000000000000","42.39533430000000000000","3380.80815789","BUY","ETH_USDT","0.00000646","ETH","Spot","s_62"
"2025-01-17 22:46:52","0.00627000000000000000","21.51147570000000000000","3430.85736842","SELL","ETH_USDT","0.01075572","USDT","Spot","s_62"
"2025-01-18 00:37:07","0.01749000000000000000","57.20299860000000000000","3270.61169811","BUY","ETH_USDT","0.00000901","ETH","Spot","s_62"
"2025-01-18 20:27:29","0.01980000000000000000","65.82463800000000000000","3324.47666667","SELL","ETH_USDT","0.03291240","USDT","Spot","s_62"
"2025-01-19 00:19:24","0.04722000000000000000","154.47113760000000000000","3271.30744600","BUY","ETH_USDT","0.00002433","ETH","Spot","s_62"
"2025-01-19 23:54:06","0.04983000000000000000","163.61328060000000000000","3283.42927152","SELL","ETH_USDT","0.08180653","USDT","Spot","s_62"
"2025-01-20 00:03:32","0.05448000000000000000","178.96587840000000000000","3284.98308370","BUY","ETH_USDT","0.00002807","ETH","Spot","s_62"
"2025-01-20 23:49:41","0.05181000000000000000","171.24889320000000000000","3305.32509554","SELL","ETH_USDT","0.08562456","USDT","Spot","s_62"
"2025-01-21 00:01:11","0.01716000000000000000","56.16108960000000000000","3272.79076923","BUY","ETH_USDT","0.00000884","ETH","Spot","s_62"
"2025-01-21 23:24:39","0.01584000000000000000","52.01923320000000000000","3284.04250000","SELL","ETH_USDT","0.02600965","USDT","Spot","s_62"
"2025-01-22 00:52:39","0.00660000000000000000","21.69365880000000000000","3286.91800000","BUY","ETH_USDT","0.00000340","ETH","Spot","s_62"
"2025-01-22 22:59:15","0.00891000000000000000","29.37392370000000000000","3296.73666667","SELL","ETH_USDT","0.01468700","USDT","Spot","s_62"
