"position_id","symbol","position_side","open_time","close_time","pnl","fee","funding_fee"
"42975442786934_63_BTC_USDT_PERP_L_41798612558","BTC_USDT_PERP","long","2025-06-26 18:28:32","2025-06-28 12:22:53","0.624760000000000000","-0.4340786290","-0.0356510797"
"42975442786934_66_ETH_USDT_PERP_S_45467903485","ETH_USDT_PERP","short","2025-07-01 14:30:06","2025-07-01 14:33:36","0.207080000000000000","-0.4974150900","0.0000000000"
"42975442786934_69_ETH_USDT_PERP_S_45485787916","ETH_USDT_PERP","short","2025-07-01 20:00:22","2025-07-01 20:00:57","0.036180000000000000","-0.0144001500","0.0000000000"
"42975442786934_69_ETH_USDT_PERP_L_45510515608","ETH_USDT_PERP","long","2025-07-02 07:00:17","2025-07-02 07:00:30","-0.001740000000000000","-0.0147048300","0.0000000000"
"42975442786934_64_BTC_USDT_PERP_L_41872986329","BTC_USDT_PERP","long","2025-06-28 12:24:31","2025-07-02 15:05:43","3.974270000000000000","-0.5421038640","-0.1304284235"
"42975442786934_70_ETH_USDT_PERP_L_45530528765","ETH_USDT_PERP","long","2025-07-02 15:07:29","2025-07-02 15:34:10","1.653360000000000000","-0.2149819080","0.0000000000"
"42975442786934_71_BTC_USDT_PERP_L_42035846628","BTC_USDT_PERP","long","2025-07-02 15:08:29","2025-07-02 16:06:00","2.610180000000000000","-0.3052737910","-0.0125745882"
"42975442786934_73_ETH_USDT_PERP_L_45535903210","ETH_USDT_PERP","long","2025-07-02 16:16:10","2025-07-02 16:49:39","1.434180000000000000","-0.2186986620","0.0000000000"
"42975442786934_74_ETH_USDT_PERP_L_45540617469","ETH_USDT_PERP","long","2025-07-02 17:07:00","2025-07-02 17:22:47","1.831140000000000000","-0.2242249650","0.0000000000"
"42975442786934_75_ETH_USDT_PERP_L_45542007125","ETH_USDT_PERP","long","2025-07-02 17:24:18","2025-07-02 17:41:25","-2.726880000000000000","-0.2537124270","0.0000000000"
"42975442786934_76_ETH_USDT_PERP_L_45546649892","ETH_USDT_PERP","long","2025-07-02 18:30:11","2025-07-02 18:30:23","-0.000950000000000000","-0.0488462450","0.0000000000"
